Custom Giraffe Bill of Materials,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Image,Source,Item #,Description,,,link:,Qty,Unit price,Total price
,Mouser.com,1318774-2,12 pin plug (wire to wire),,,https://www.mouser.com/ProductDetail/TE-Connectivity/1318774-2?qs=%2Fha2pyFadugfF2QfTy%252BTwI9wdmBTk2YJ8KIWSlC%2Fne4%3D,1,$2.01,$2.01
,Mouser.com,1565894-1,12 pin Socket (wire to wire),,,https://www.mouser.com/ProductDetail/TE-Connectivity-AMP/1565894-1?qs=sGAEpiMZZMvlX3nhDDO4AGYY8nQ9iF2nFtHt%2FSkQc6w%3D,1,$2.81,$2.81
,Digikey.com,1123343-1,Socket 20-24AWG Crimp Pin,,,https://www.digikey.com/product-detail/en/1123343-1/A107011CT-ND/3488572?utm_medium=email&utm_source=oce&utm_campaign=2598_OCE19RT&utm_content=productdetail_US&utm_cid=972664&so=60319302&mkt_tok=eyJpIjoiWW1abFltRTFObUkxWVRBMSIsInQiOiJHblJrSlljMjg3RTBUSitmc0xIYkNiY2dWZXpVZUIxNlF5bE1ENGFoMkdxZHpYakNSN09sXC9hVzVDNkVQZmxFV2Z0V1BzNGdORUc5bmc1NGpJK2NyZGN1SkwrRTQ0bXB6bVhuYmZYY2xWYTBlTjFBcmNMWEI3STM3TFdXaEdVNloifQ%3D%3D,25,$0.1116,$2.79
,Digikey.com,1376109-1,Contact 20-24AWG Crimp Pin,,,https://www.digikey.com/product-detail/en/1376109-1/A124380CT-ND/6052257?utm_medium=email&utm_source=oce&utm_campaign=2617_OCE19RT&utm_content=productdetail_US&utm_cid=972664&so=60710950&mkt_tok=eyJpIjoiTWpZeU1HSTRPRGN5WkRBdyIsInQiOiIwMjV4S0ZtQ1FGaEczbFJYNDdqcWczWCtEaVV5SCsyTzUybm9ZQ1V5UDlCTzU4TWhLOUdpMWtwNXNtSzZSK1NHTHNPUE1Yck9MdUt6YWRHa05VUzR2QnozcndkUlR4NlhYZXI4TGwrb1NWa3E4NHJWek41M25LOVEyR1VIQTlvYSJ9,25,$0.2288,$5.72
,Digikey.com,511151601,OBD-II Female 16 pin Housing,,,https://www.digikey.com/product-detail/en/0511151601/WM3342-ND/2405201?utm_medium=email&utm_source=oce&utm_campaign=2620_OCE19RT&utm_content=productdetail_US&utm_cid=972664&so=60773565&mkt_tok=eyJpIjoiWVRVM01ETmlPV1V4WkRNdyIsInQiOiJWZEJyUVwvZTRpVENqUHJ4eHNwQ3Y5THR6eHRmaFc0OEl5ZGladnVaRllsZlNsSzBINUl1TGhDNUtpSXk2T2tOdHlZRWlYYktaVVR5N3lcLzFXYjIxUkphNDBUenhYQTZsWFZwdzAybXdLeXR0M2o3bDNqU0NHMTB4SDZWUzd4bHh3In0%3D,1,$1.44,$1.44
,Digikey.com,504208000,OBD-II 18-22AWG Crimp Pin,,,https://www.digikey.com/product-detail/en/molex/0504208000/WM3324CT-ND/2405657,25,$0.1232,$3.08
,Digikey.com,CFR-50JB-52-120R,120 Ohms Resistor,,,https://www.digikey.com/product-detail/en/yageo/CFR-50JB-52-120R/120H-ND/385,1,$0.11,$0.11
,Amazon.com,B07S474B8G,5.5mm Female DC Power Plug,,,https://www.amazon.com/gp/product/B07S474B8G/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,1,$6.99,$6.99
,Amazon.com,B073RD76QD,24 AWG Wire 6 Color Spools,,,https://www.amazon.com/gp/product/B073RD76QD/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1,1,$15.88,$15.88
,Amazon.com,B00NN6B9R6,19mm X 15 m Tesa Wire Tape,,,https://www.amazon.com/gp/product/B00NN6B9R6/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1,1,$5.41,$5.41
,Amazon.com,B078LRSZDB,Panel Mount 3ft USB 3.0 Cable,,,https://www.amazon.com/gp/product/B078LRSZDB/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1,1,$8.90,$8.90
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,Subtotal:,,$44.01,$55.14
,,,,,,Total:,,$55.14,
